UNIPROT,pvalue,qvalue,effectSize,directedEffect
P04259,0.4194982,0.5323541,2.177495,-2.177495
P04264,0.12784304,0.22140926,1.9932156,-1.9932156
P04350,0.1214492,0.21238795,1.2926273,-1.2926273
P04406,9.80E-05,0.002909405,1.8052921,1.8052921
P04424,0.003126537,0.017513486,1.2279081,1.2279081
P04792,0.167355,0.27025557,1.0345745,-1.0345745
P04843,0.000983402,0.008925309,1.3288498,-1.3288498
P04844,0.41920093,0.5323541,1.1215162,-1.1215162
P05023,0.15811233,0.26121324,0.48714733,-0.48714733
P05062,0.13745143,0.2346492,0.5448303,0.5448303
P05089,0.61117244,0.7160301,0.05627823,-0.05627823
P05091,0.15475382,0.25625512,0.33568573,0.33568573
P05141,0.10627011,0.19241324,0.39453602,0.39453602
P05165,0.011480942,0.039199214,0.7737055,0.7737055
P05166,0.006596385,0.027497718,1.8215933,1.8215933
P05181,0.9231195,0.9468907,0.12690163,-0.12690163
P05198,0.07846678,0.15498808,1.3322334,1.3322334
P05387,0.1881624,0.29328787,0.29387474,0.29387474
P05388,0.5545063,0.6637409,0.22690964,0.22690964
P05556,0.018051527,0.053263135,0.6304846,0.6304846
P05783,0.012820584,0.042166766,0.713871,0.713871
P05787,0.000718048,0.007571185,1.1207237,1.1207237
P06133,0.53199846,0.6432427,0.5071497,-0.5071497
P06396,0.57209307,0.6782684,0.4006462,0.4006462
P06576,0.7029377,0.79035854,0.036863327,0.036863327
P06703,0.011117916,0.03850987,1.1656609,1.1656609
P06733,0.006192574,0.026118085,0.91119385,0.91119385
P06737,0.022130203,0.060794454,0.9464483,0.9464483
P06744,0.059204362,0.12709436,0.4107046,0.4107046
P06748,0.8567796,0.9047288,0.036938667,0.036938667
P06753,0.044404194,0.100565545,1.2083511,1.2083511
P07099,0.76049167,0.8337495,0.19015408,-0.19015408
P07148,0.001765857,0.012292422,3.3363066,3.3363066
P07195,0.002445037,0.015244267,2.2213125,2.2213125
P07203,0.002320546,0.01459501,2.0866213,2.0866213
P07237,0.002602081,0.01579287,0.8687134,0.8687134
P07306,0.40220147,0.5168071,2.3987923,-2.3987923
P07327,0.5817067,0.68486613,0.83815384,0.83815384
P07339,5.68E-05,0.002293301,1.8134184,1.8134184
P07355,0.26850438,0.37454787,0.24269485,0.24269485
P07437,0.001060726,0.009293202,3.078535,3.078535
P07602,0.001374629,0.010830865,2.6796722,-2.6796722
P07737,0.0004125,0.005396504,1.0292969,1.0292969
P07814,0.006653934,0.02757728,2.4606485,-2.4606485
P07858,0.70665383,0.79043806,0.2825842,-0.2825842
P07900,0.0004764,0.005789474,1.8989849,1.8989849
P07910,0.03321009,0.08182692,0.44707012,0.44707012
P07954,0.001199459,0.010000138,1.2142277,1.2142277
P08133,0.003648448,0.018830568,1.5462933,1.5462933
