UNIPROT,pvalue,qvalue,effectSize,directedEffect
P62826,0.14398183,0.24233557,0.3696518,0.3696518
P62829,0.26002687,0.36991924,0.48042965,0.48042965
P62841,0.16298462,0.26498854,0.45307064,0.45307064
P62851,0.052386444,0.11451547,0.8557453,-0.8557453
P62854,0.003272956,0.018051606,0.7473097,0.7473097
P62857,0.12576967,0.2188759,0.49952888,-0.49952888
P62861,0.1781995,0.28267476,0.13693523,0.13693523
P62873,0.2930255,0.4003616,0.59588814,0.59588814
P62888,0.001298152,0.010458139,1.5017672,-1.5017672
P62899,0.3028939,0.40957555,0.23126125,0.23126125
P62906,0.7313578,0.80798674,0.08885765,-0.08885765
P62910,0.001062821,0.009293202,2.3654842,-2.3654842
P62913,0.40447956,0.5178782,0.73155785,-0.73155785
P62917,0.8829315,0.9241774,0.046416283,0.046416283
P62937,0.000119113,0.002954858,1.7316246,-1.7316246
P62942,0.41264817,0.52552164,0.12805462,-0.12805462
P63104,0.36929813,0.47968605,0.34262276,0.34262276
P63173,0.000753385,0.007828651,1.9375067,-1.9375067
P63244,0.086110644,0.16464351,0.7767935,-0.7767935
P67936,0.78501254,0.8515188,0.1300602,0.1300602
P68363,0.000105501,0.002909405,1.6461678,-1.6461678
P68366,0.01448496,0.045723904,1.1812735,1.1812735
P68371,0.000533348,0.006269022,1.3214874,1.3214874
P78371,0.11022276,0.19822598,0.59812164,-0.59812164
P78417,0.009797005,0.0346032,0.9705715,0.9705715
P80404,0.000794626,0.007913144,2.736989,2.736989
P83731,0.002198184,0.014166962,1.7449636,-1.7449636
P84098,0.004669187,0.021766856,1.6334162,1.6334162
P84103,0.66881174,0.76117134,0.17059231,0.17059231
P99999,0.018491887,0.054117054,1.8350763,1.8350763
Q3LXA3,0.25786373,0.36977637,0.39607143,0.39607143
Q3SY69,0.30104795,0.40836003,0.17010403,-0.17010403
Q3ZCQ8,0.7960953,0.85858047,0.17094517,0.17094517
Q4G0N4,0.8703795,0.91237134,0.12449169,0.12449169
Q5D862,0.43530145,0.5456486,1.6851654,-1.6851654
Q5JRX3,0.26545814,0.37191322,0.92085934,-0.92085934
Q6IB77,0.91034275,0.94258136,0.023039818,0.023039818
Q6KB66,0.6455355,0.74413013,0.8070431,-0.8070431
Q6NVY1,0.22155549,0.33584616,0.22756577,-0.22756577
Q6XQN6,0.28774032,0.3967494,1.2502394,-1.2502394
Q6YN16,0.004350644,0.021220481,0.9882889,-0.9882889
Q7KZF4,0.95841026,0.9761077,0.09619427,-0.09619427
Q7Z4W1,0.08988107,0.16959135,0.30257797,0.30257797
Q08AH3,0.020465408,0.056868214,1.1326742,1.1326742
Q8N1G4,0.060659066,0.12829657,1.7737198,-1.7737198
Q8NBS9,0.3829005,0.49645495,1.4257698,-1.4257698
Q8NBX0,0.019156925,0.054821953,1.2407379,1.2407379
Q8NC51,0.5806857,0.6847887,0.18893337,-0.18893337
Q8WUM4,0.004768618,0.02183603,1.0662899,1.0662899
Q8WWI1,0.17104907,0.27531594,1.3971596,-1.3971596
Q9BPW8,0.5930402,0.69706535,0.13968182,0.13968182
Q9BQE5,0.00056223,0.006398711,0.721858,0.721858
Q9BRA2,0.012807862,0.042166766,1.3289328,-1.3289328
Q9BRP8,0.15330347,0.25444114,2.1020937,-2.1020937
Q9BS26,0.11821544,0.20825656,0.6853132,-0.6853132
Q9BSE5,0.003429553,0.018350659,1.5205717,1.5205717
Q9BSJ8,0.06370256,0.13394348,0.64320946,0.64320946
Q9BTZ2,0.023650648,0.06373302,0.6230078,-0.6230078
Q9BUP3,0.14672022,0.2456653,1.0860815,-1.0860815
Q9BWD1,0.04271408,0.098475866,0.9183407,0.9183407
Q9H0W9,0.35184762,0.4654514,0.2692604,-0.2692604
Q9H2U2,0.005396514,0.023738042,1.1073275,1.1073275
Q9H8H3,0.108245276,0.19549578,5.621092,-5.621092
Q9H9B4,0.9895089,0.9922766,0.013767242,-0.013767242
Q9H444,0.7816082,0.8503989,0.059578896,0.059578896
Q9HCC0,0.14081715,0.23812696,0.5746746,0.5746746
Q9HDC9,0.6189299,0.7228152,0.15259552,0.15259552
Q9NUI1,0.42379248,0.5359068,0.4289484,0.4289484
Q9P0Z9,0.03149919,0.078419834,1.7759848,1.7759848
Q9P2E9,0.002680487,0.015940197,0.975337,0.975337
Q9UBQ7,0.041320715,0.096692674,0.6239939,-0.6239939
Q9UBR2,0.5305692,0.64260197,2.1692162,-2.1692162
Q9UDY2,0.90764856,0.94258136,0.042506218,-0.042506218
Q9UHD8,0.005877166,0.025385108,1.4179878,1.4179878
Q9UJM8,0.03530665,0.085325554,0.32578564,0.32578564
Q9UJS0,0.65289557,0.75020176,0.4187956,-0.4187956
Q9UKK9,0.002734916,0.015942553,1.9405041,1.9405041
Q9UKY3,0.36905512,0.47968605,0.31450844,0.31450844
Q9UL12,0.4904848,0.60634065,0.15039921,-0.15039921
Q9UL46,0.17897458,0.28327766,0.80993366,0.80993366
Q9ULV4,0.23993036,0.34965447,0.14740753,-0.14740753
Q9UNZ2,0.030763848,0.076856025,2.5620155,-2.5620155
Q9UQ80,0.012747142,0.042166766,1.3200884,1.3200884
Q9Y2P5,0.8101187,0.8635523,0.1573782,-0.1573782
Q9Y2Q3,0.13678405,0.2340672,0.86491585,-0.86491585
Q9Y2S7,0.8018529,0.8593849,0.066370964,-0.066370964
Q9Y2T3,0.08481671,0.16260311,3.0361242,-3.0361242
Q9Y3B3,0.004953175,0.022197142,1.0628948,-1.0628948
Q9Y3F4,5.44E-05,0.002293301,1.656908,1.656908
Q9Y3I0,0.57326466,0.6782684,0.18365955,0.18365955
Q9Y4L1,0.000144625,0.003142302,2.5673456,2.5673456
Q9Y6C9,0.07131684,0.14485279,1.5838165,-1.5838165
Q9Y6N5,0.037147842,0.088488355,0.9504833,0.9504833
Q9Y266,0.49617916,0.6102239,0.14932346,-0.14932346
Q9Y277,0.015993614,0.048590753,1.8491602,1.8491602
Q9Y281,0.008518009,0.031975973,1.7046881,-1.7046881
Q9Y394,0.8206344,0.87169576,0.06029892,-0.06029892
Q9Y490,0.6331229,0.7350568,0.11769867,-0.11769867
Q9Y678,0.042613678,0.098475866,1.2546053,-1.2546053
Q27J81,0.86333734,0.9078494,0.055075645,-0.055075645
Q32MZ4,0.003474369,0.01845275,1.618679,1.618679
Q53GQ0,0.2328948,0.3471633,0.7518244,-0.7518244
Q56VL3,0.08034419,0.15756111,2.8883219,-2.8883219
Q58FF3,0.004398638,0.021309612,7.418004,-7.418004
Q68CK6,0.041666865,0.0969972,3.8683786,-3.8683786
Q86TX2,0.14698812,0.2456653,0.5076227,-0.5076227
Q86YB7,0.00111084,0.009370263,1.8154402,-1.8154402
Q86YZ3,0.07192135,0.14485279,0.7367277,0.7367277
Q96AE4,0.25896698,0.36991924,0.3978386,0.3978386
Q96AG4,0.007484105,0.02948408,2.1512327,2.1512327
Q96DC8,0.4267529,0.5377534,0.17116356,0.17116356
Q96DG6,0.00606581,0.026008978,0.83090115,-0.83090115
Q96HC4,0.003806828,0.019358117,1.0110178,1.0110178
Q96I99,0.23939659,0.34965447,0.2664261,-0.2664261
Q96KP4,0.6299732,0.7332641,0.28607082,0.28607082
Q00266,7.25E-05,0.002364307,1.5815487,1.5815487
Q00325,0.520102,0.6331292,0.6963663,-0.6963663
Q00341,0.001060007,0.009293202,0.92442036,0.92442036
Q00610,0.040028743,0.09472147,0.5774956,-0.5774956
Q00796,0.000165433,0.003294879,1.21873,1.21873
Q00839,0.110323556,0.19822598,0.16427994,0.16427994
Q969H8,0.000680738,0.007284905,1.6870327,-1.6870327
Q969X5,0.17555194,0.27971262,1.5276375,1.5276375
Q01082,0.00975935,0.0346032,0.26829243,0.26829243
Q01518,0.000498319,0.005954912,2.4271736,2.4271736
Q01581,0.001806263,0.012400838,1.6960926,-1.6960926
Q02218,0.71767116,0.7990221,0.27045918,-0.27045918
Q02252,0.45634517,0.5680545,0.4837427,-0.4837427
Q02338,0.000429011,0.005396504,1.7014494,-1.7014494
Q02413,0.09817647,0.1822103,3.6251955,-3.6251955
Q02790,0.25942817,0.36991924,0.24524593,0.24524593
Q02818,0.030185802,0.07635475,1.3928404,1.3928404
Q02878,0.003343703,0.018301025,0.6871052,-0.6871052
Q03154,0.000904043,0.008642653,1.7605925,1.7605925
Q04446,0.04914515,0.10808918,1.6664028,-1.6664028
Q04637,0.47221544,0.5847641,0.23246288,-0.23246288
Q04695,0.008364493,0.03173196,2.5487318,-2.5487318
Q04837,0.11353023,0.20198792,1.1279259,-1.1279259
Q04917,0.42300364,0.5358544,0.55754566,0.55754566
Q06210,0.000376848,0.005196151,1.2604532,-1.2604532
Q06278,0.020542357,0.056868214,0.8881626,-0.8881626
Q06520,0.15277164,0.25414672,0.5554447,0.5554447
Q06830,0.09834782,0.1822103,0.28608513,-0.28608513
Q07020,0.31989452,0.42791846,0.51571083,0.51571083
Q07065,0.35471654,0.4675214,0.50799274,0.50799274
Q07954,0.78685147,0.85222435,0.12085819,-0.12085819
Q08257,0.91954964,0.9459353,0.010770798,-0.010770798
Q08426,0.025206814,0.066914745,0.7013483,0.7013483
Q09666,3.08E-05,0.001928815,2.1079493,2.1079493
Q10713,0.006723379,0.027704956,1.1500349,-1.1500349
Q12904,0.80013204,0.8588241,0.21956539,0.21956539
Q12907,0.002279643,0.014464634,1.7182865,-1.7182865
Q12931,0.36489275,0.47742352,1.2937412,-1.2937412
Q13011,0.000938832,0.008760673,1.1617546,-1.1617546
Q13162,0.2630643,0.37191322,0.33921814,0.33921814
Q13200,0.008094648,0.0308716,1.5281458,1.5281458
Q13228,0.000945408,0.008760673,1.5745668,1.5745668
Q13347,0.96949506,0.97915465,0.005478859,0.005478859
Q13423,0.97759527,0.9844603,0.008678436,0.008678436
Q13501,0.019579837,0.055709295,2.6244955,-2.6244955
Q13630,0.40636665,0.5193669,0.5337372,0.5337372
Q13813,0.08734734,0.16612205,0.25852394,0.25852394
Q13885,0.14606713,0.24526957,0.84402466,0.84402466
Q14032,0.009582364,0.034363233,1.744503,-1.744503
Q14103,0.000274004,0.004677635,1.4088955,1.4088955
Q14117,0.04433206,0.100565545,0.43806744,0.43806744
Q14152,0.38943696,0.50401837,0.7674608,-0.7674608
Q14204,0.000314053,0.004801994,3.0287437,-3.0287437
Q14240,0.016133264,0.04867273,0.72647667,-0.72647667
Q14247,0.80471814,0.86029637,0.14062786,0.14062786
Q14353,0.5252043,0.63825643,0.43383312,0.43383312
Q14554,0.030610533,0.07674036,1.9069023,-1.9069023
Q14697,0.008010076,0.0308716,1.3342257,-1.3342257
Q14764,0.033945452,0.08335233,1.0467367,1.0467367
Q14847,0.020228859,0.056656595,0.60721874,-0.60721874
Q14914,0.030243734,0.07635475,0.8984518,-0.8984518
Q14974,0.008989804,0.033397354,1.5713282,-1.5713282
Q15067,0.22546569,0.34033445,0.7738943,-0.7738943
Q15075,0.36655048,0.4778483,0.1376028,0.1376028
Q15084,0.06712336,0.13816826,0.53450394,-0.53450394
Q15149,0.101050176,0.18577679,0.4767027,0.4767027
Q15181,0.07187683,0.14485279,0.4057083,0.4057083
Q15185,0.8493461,0.8995289,0.11539745,-0.11539745
Q15233,0.000318381,0.004801994,0.93001556,-0.93001556
Q15274,0.6221751,0.72536504,0.93989944,-0.93989944
Q15365,0.000664948,0.007223752,1.3517246,-1.3517246
Q15436,0.009473142,0.034304246,1.130475,-1.130475
Q15493,0.06409172,0.1343677,2.0028973,2.0028973
Q15738,0.23617709,0.34965447,0.3715582,-0.3715582
Q15942,0.001963059,0.012912964,1.0257177,-1.0257177
Q16134,0.0153922,0.04737852,0.31130123,0.31130123
Q16181,0.000115908,0.002954858,1.2318115,-1.2318115
Q16543,0.008723976,0.03257859,2.088972,2.088972
Q16555,0.004951721,0.022197142,1.435421,-1.435421
Q16698,0.078275144,0.15498808,0.35843468,-0.35843468
Q16719,0.6706864,0.7620953,0.3313465,-0.3313465
Q16762,0.61898,0.7228152,0.72885036,-0.72885036
Q16775,0.040254943,0.09493394,1.1654358,1.1654358
Q16822,0.9793188,0.98479366,0.004252434,0.004252434
Q16836,0.02593863,0.067996606,0.8185854,0.8185854
Q16851,0.007256847,0.028906431,0.4440031,0.4440031
Q16881,0.076539494,0.15244107,0.22201633,-0.22201633
Q16891,0.08717294,0.16612205,0.31455708,-0.31455708
Q92499,0.004705528,0.021766856,1.2356148,-1.2356148
Q92506,0.26557827,0.37191322,0.3871317,0.3871317
Q92597,0.18229792,0.28726935,0.13554859,-0.13554859
Q92598,0.025291357,0.066914745,1.2797327,1.2797327
Q92743,0.001455498,0.011106757,1.4679604,-1.4679604
Q92945,0.000303154,0.004801994,1.2951784,1.2951784
Q93088,0.009727784,0.0346032,2.1412964,-2.1412964
Q99436,0.061631862,0.1299707,1.2503357,-1.2503357
Q99460,0.000425242,0.005396504,1.4960327,-1.4960327
Q99497,0.036927544,0.088488355,0.64334965,0.64334965
Q99541,0.018274149,0.053699035,1.1637068,-1.1637068
Q99623,0.12086282,0.2123359,0.5441818,-0.5441818
Q99714,0.22868527,0.3424234,0.3274231,0.3274231
Q99729,0.013987265,0.044741236,1.7037935,1.7037935
Q99798,0.09686025,0.1805573,0.31393814,0.31393814
Q99832,0.044393353,0.100565545,0.38366318,0.38366318
