"TF"	"target"	"tissue"	"TF_EntrezID"	"TF_Ensembl_ID"	"target_EntrezID"	"Paper"
"MALAT1"	"ZEB2"	"Bladder"	378938	"ENSG00000251562"	9839	"Ying, L., et al. (2012). \"Upregulated MALAT-1 contributes to bladder cancer cell migration by inducing epithelial-to-mesenchymal transition.\" Mol Biosyst 8(9): 2289-2294."
"H19"	"BAX"	"Stomch"	283120	"ENSG00000130600"	581	"Yang, F., et al. (2012). \"Up-regulated long non-coding RNA H19 contributes to proliferation of gastric cancer cells.\" FEBS J 279(17): 3159-3165."
"Malat1"	"Bub1b"	"Brain cortex"	72289	"ENSMUSG00000092341"	12236	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Col4a2"	"Brain cortex"	72289	"ENSMUSG00000092341"	12827	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Ebf3"	"Brain cortex"	72289	"ENSMUSG00000092341"	13593	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Ehbp1l1"	"Brain cortex"	72289	"ENSMUSG00000092341"	114601	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Fermt1"	"Brain cortex"	72289	"ENSMUSG00000092341"	241639	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Frmd8"	"Brain cortex"	72289	"ENSMUSG00000092341"	67457	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Ltbp3"	"Brain cortex"	72289	"ENSMUSG00000092341"	16998	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Mx2"	"Brain cortex"	72289	"ENSMUSG00000092341"	17858	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Neat1"	"Brain cortex"	72289	"ENSMUSG00000092341"	66961	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Saa3"	"Liver"	72289	"ENSMUSG00000092341"	20210	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Shox2"	"Brain cortex"	72289	"ENSMUSG00000092341"	20429	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Tigd3"	"Brain cortex"	72289	"ENSMUSG00000092341"	332359	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"Malat1"	"Tnnt1"	"Brain cortex"	72289	"ENSMUSG00000092341"	21955	"Zhang, B., et al. (2012). \"The lncRNA Malat1 is dispensable for mouse development but its transcription plays a cis-regulatory role in the adult.\" Cell Rep 2(1): 111-123."
"IFNG-AS1"	"IFNG"	"Lymph node"	100885789	"ENSG00000255733"	3458	"Collier, S. P., et al. (2012). \"Cutting edge: influence of Tmevpg1, a long intergenic noncoding RNA, on the expression of Ifng by Th1 cells.\" J Immunol 189(5): 2084-2088."
"BDNF-AS"	"BDNF"	"NA"	497258	"ENSG00000245573"	627	"Lipovich, L., et al. (2012). \"Activity-dependent human brain coding/noncoding gene regulatory networks.\" Genetics 192(3): 1133-1148."
"Kcnq1ot1"	"Kcnq1"	"Heart"	63830	"NA"	16535	"Korostowski, L., et al. (2012). \"The Kcnq1ot1 long non-coding RNA affects chromatin conformation and expression of Kcnq1, but does not regulate its imprinting in the developing heart.\" PLoS Genet 8(9): e1002956."
"Adapt15"	"Cdk6"	"Ovary"	100689050	"NA"	12571	"Liu, X., et al. (2012). \"Long non-coding RNA gadd7 interacts with TDP-43 and regulates Cdk6 mRNA decay.\" EMBO J 31(23): 4415-4427."
