"TF"	"target"	"tissue"	"TF_EntrezID"	"TF_Ensembl_ID"	"target_EntrezID"	"Paper"
"Miat"	"Dppa3"	"Embryo"	330166	"ENSMUSG00000097767"	73708	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Eomes"	"Embryo"	330166	"ENSMUSG00000097767"	13813	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Fgf4"	"Embryo"	330166	"ENSMUSG00000097767"	14175	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Gata3"	"Embryo"	330166	"ENSMUSG00000097767"	14462	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Gata6"	"Embryo"	330166	"ENSMUSG00000097767"	14465	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Gdf3"	"Embryo"	330166	"ENSMUSG00000097767"	14562	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Hand1"	"Embryo"	330166	"ENSMUSG00000097767"	15110	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Id2"	"Embryo"	330166	"ENSMUSG00000097767"	15902	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Klf4"	"Embryo"	330166	"ENSMUSG00000097767"	16600	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Nanog"	"Embryo"	330166	"ENSMUSG00000097767"	71950	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Pou5f1"	"Embryo"	330166	"ENSMUSG00000097767"	18999	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Relb"	"Embryo"	330166	"ENSMUSG00000097767"	19698	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Sox1"	"Embryo"	330166	"ENSMUSG00000097767"	20664	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"AK141205"	"Sox2"	"Embryo"	0	"NA"	20674	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
