source	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
BRD4	GSN	NA	NA	NA	NA
BRD4	PSMB7	NA	NA	NA	NA
BRD4	RPL35	NA	NA	NA	NA
BRD4	RPL12	NA	NA	NA	NA
BRD4	RPL7A	NA	NA	NA	NA
BRD4	PMPCA	NA	NA	NA	NA
BRD4	GSR	NA	NA	NA	NA
BRD4	RPS20	NA	NA	NA	NA
BRD4	RPL7	NA	NA	NA	NA
BRD4	RPL30	NA	NA	NA	NA
BRD4	YWHAZ	NA	NA	NA	NA
BRD4	NDRG1	NA	NA	NA	NA
BRD4	CYC1	NA	NA	NA	NA
BRD4	GPT	NA	NA	NA	NA
BRD4	PSMA6	NA	NA	NA	NA
BRD4	DLST	NA	NA	NA	NA
BRD4	PSMC1	NA	NA	NA	NA
BRD4	DYNC1H1	NA	NA	NA	NA
BRD4	CNDP2	NA	NA	NA	NA
BRD4	PDIA6	NA	NA	NA	NA
BRD4	DDX1	NA	NA	NA	NA
BRD4	SPTBN1	NA	NA	NA	NA
BRD4	ACTR2	NA	NA	NA	NA
BRD4	ANXA4	NA	NA	NA	NA
BRD4	PCBP1	NA	NA	NA	NA
BRD4	CCT7	NA	NA	NA	NA
BRD4	RPL31	NA	NA	NA	NA
BRD4	ACTR3	NA	NA	NA	NA
BRD4	HSPD1	NA	NA	NA	NA
BRD4	HSPE1	NA	NA	NA	NA
BRD4	EEF1B2	NA	NA	NA	NA
BRD4	IDH1	NA	NA	NA	NA
BRD4	XRCC5	NA	NA	NA	NA
BRD4	PSMD1	NA	NA	NA	NA
BRD4	ALDH5A1	NA	NA	NA	NA
BRD4	CLIC1	NA	NA	NA	NA
BRD4	HSD17B8	NA	NA	NA	NA
BRD4	RPS18	NA	NA	NA	NA
BRD4	HSP90AB1	NA	NA	NA	NA
BRD4	EZR	NA	NA	NA	NA
BRD4	PSMB1	NA	NA	NA	NA
BRD4	LETM1	NA	NA	NA	NA
BRD4	WDR1	NA	NA	NA	NA
BRD4	TMEM33	NA	NA	NA	NA
BRD4	OCIAD2	NA	NA	NA	NA
BRD4	HNRNPD	NA	NA	NA	NA
BRD4	SEC31A	NA	NA	NA	NA
BRD4	PDLIM5	NA	NA	NA	NA
BRD4	MTTP	NA	NA	NA	NA
BRD4	RPL34	NA	NA	NA	NA
BRD4	RPS3A	NA	NA	NA	NA
BRD4	ETFDH	NA	NA	NA	NA
BRD4	RPL21	NA	NA	NA	NA
BRD4	UCHL3	NA	NA	NA	NA
BRD4	PCCA	NA	NA	NA	NA
BRD4	CCT5	NA	NA	NA	NA
BRD4	MCCC2	NA	NA	NA	NA
BRD4	GLRX	NA	NA	NA	NA
BRD4	TMED7-TICAM2	NA	NA	NA	NA
BRD4	TMED7	NA	NA	NA	NA
BRD4	HSD17B4	NA	NA	NA	NA
BRD4	ALDH7A1	NA	NA	NA	NA
BRD4	LMNB1	NA	NA	NA	NA
BRD4	HINT1	NA	NA	NA	NA
BRD4	HSPA4	NA	NA	NA	NA
BRD4	RPS14	NA	NA	NA	NA
BRD4	ERGIC1	NA	NA	NA	NA
BRD4	SFXN1	NA	NA	NA	NA
BRD4	CLTB	NA	NA	NA	NA
BRD4	LMAN2	NA	NA	NA	NA
BRD4	CANX	NA	NA	NA	NA
BRD4	SQSTM1	NA	NA	NA	NA
BRD4	PPIA	NA	NA	NA	NA
BRD4	CCT6A	NA	NA	NA	NA
BRD4	MDH2	NA	NA	NA	NA
BRD4	ARPC1B	NA	NA	NA	NA
BRD4	PMPCB	NA	NA	NA	NA
BRD4	PSMC2	NA	NA	NA	NA
BRD4	SND1	NA	NA	NA	NA
BRD4	SSBP1	NA	NA	NA	NA
BRD4	RPL32	NA	NA	NA	NA
BRD4	RPL15	NA	NA	NA	NA
BRD4	PDCD6IP	NA	NA	NA	NA
BRD4	RPSA	NA	NA	NA	NA
BRD4	ACY1	NA	NA	NA	NA
BRD4	SUCLG2	NA	NA	NA	NA
BRD4	RPL24	NA	NA	NA	NA
BRD4	SEC61A1	NA	NA	NA	NA
BRD4	RPN1	NA	NA	NA	NA
BRD4	COPG1	NA	NA	NA	NA
BRD4	COPB2	NA	NA	NA	NA
BRD4	PSMD2	NA	NA	NA	NA
BRD4	EIF4G1	NA	NA	NA	NA
BRD4	EHHADH	NA	NA	NA	NA
BRD4	EIF4A2	NA	NA	NA	NA
BRD4	RPS15	NA	NA	NA	NA
BRD4	SGTA	NA	NA	NA	NA
BRD4	LONP1	NA	NA	NA	NA
BRD4	TUBB4A	NA	NA	NA	NA
BRD4	CDC37	NA	NA	NA	NA
BRD4	PRKCSH	NA	NA	NA	NA
BRD4	CALR	NA	NA	NA	NA
BRD4	DNAJB1	NA	NA	NA	NA
BRD4	TPM4	NA	NA	NA	NA
BRD4	ECH1	NA	NA	NA	NA
BRD4	HNRNPL	NA	NA	NA	NA
BRD4	RPS16	NA	NA	NA	NA
BRD4	PSMC4	NA	NA	NA	NA
BRD4	RPS19	NA	NA	NA	NA
BRD4	NAPA	NA	NA	NA	NA
BRD4	RPL13A	NA	NA	NA	NA
BRD4	RPS11	NA	NA	NA	NA
BRD4	RPL28	NA	NA	NA	NA
BRD4	GNB1	NA	NA	NA	NA
BRD4	LRRC47	NA	NA	NA	NA
BRD4	PARK7	NA	NA	NA	NA
BRD4	H6PD	NA	NA	NA	NA
BRD4	DDOST	NA	NA	NA	NA
BRD4	RPL11	NA	NA	NA	NA
BRD4	SFN	NA	NA	NA	NA
BRD4	EIF3I	NA	NA	NA	NA
BRD4	CAP1	NA	NA	NA	NA
