top_retrieved_TFs
MAZ
BRD4
CREB1
EP300
ETS1
FLI1
GABPA
HDAC1
ERG
KLF5
HDAC2
CDK9
MAX
CEBPB
BRD2
KLF4
CTCF
E2F1
IRF1
LMNB1
FOXA2
ZNF263
