"UNIPROT	pvalue	qvalue	effectSize	directedEffect"
"P62750	0.11554956	0.20601706	1.6523275	-1.6523275"
"P62753	0.000538364	0.007751145	0.87166405	-0.87166405"
"P62826	0.14854515	0.24969739	0.48532772	0.48532772"
"P62829	0.115030676	0.20601706	0.41932964	-0.41932964"
"P62841	0.93730575	0.9583461	0.25803852	-0.25803852"
"P62847	0.6752609	0.75415134	0.08011913	-0.08011913"
"P62851	0.4290431	0.53516674	0.28474045	-0.28474045"
"P62854	0.016771981	0.0538228	0.8941021	0.8941021"
"P62857	0.85761386	0.9010052	0.056269646	0.056269646"
"P62899	0.000878177	0.010074678	0.28740597	0.28740597"
"P62906	0.14310038	0.24344303	0.7445917	-0.7445917"
"P62910	0.15241505	0.25378537	3.541606	-3.541606"
"P62913	0.08605527	0.16783157	2.034174	-2.034174"
"P62917	0.4708708	0.57714367	0.13955212	-0.13955212"
"P62937	0.00024736	0.005872558	2.4135437	-2.4135437"
"P62942	0.27697605	0.38666624	0.22219086	-0.22219086"
"P62979	0.044834875	0.10412309	3.0903416	-3.0903416"
"P63104	0.009972443	0.037852388	1.1548138	1.1548138"
"P63173	0.33426362	0.44610608	0.2546749	-0.2546749"
"P63220	0.000412951	0.007118544	2.2928638	-2.2928638"
"P63244	0.035498515	0.08771213	1.5615978	1.5615978"
"P67809	0.000616647	0.008062087	3.7722101	3.7722101"
"P68366	7.48E-05	0.004064043	3.5305357	3.5305357"
"P68371	0.8270995	0.8767749	0.07313919	0.07313919"
"P68402	0.23735529	0.35057083	0.39268017	0.39268017"
"P78371	0.65368855	0.7395898	0.1293621	0.1293621"
"P78386	0.31631443	0.42617923	2.6248503	-2.6248503"
"P78417	0.036890697	0.08980976	0.39046	0.39046"
"P80404	0.008706551	0.034962676	1.2082958	1.2082958"
"P83111	0.25771356	0.36955094	0.9927244	0.9927244"
"P83731	0.034667313	0.08738574	1.9261236	-1.9261236"
"P84098	0.32192796	0.43209332	2.6908817	-2.6908817"
"P84103	0.18561877	0.2938271	0.7350359	-0.7350359"
"P99999	0.004654134	0.022818182	1.9694357	1.9694357"
"Q3SY69	0.000565392	0.007751145	1.1450863	1.1450863"
"Q4G0N4	0.9848065	0.98620296	0.001825333	-0.001825333"
"Q5JRX3	0.009946807	0.037852388	1.56913	-1.56913"
"Q5T749	0.008880813	0.034962676	2.3453732	-2.3453732"
"Q6IB77	0.000296085	0.005972457	1.6207037	-1.6207037"
"Q6NVY1	0.04895405	0.11042029	0.7147703	-0.7147703"
"Q6UWP8	0.048906386	0.11042029	4.465127	-4.465127"
"Q6UX53	0.013992895	0.04744035	1.2206249	-1.2206249"
"Q6YN16	0.000956141	0.010385159	1.1528664	-1.1528664"
"Q7KZF4	0.86555433	0.9079957	0.18115997	0.18115997"
"Q7Z4W1	0.2119257	0.321072	0.81617165	-0.81617165"
"Q7Z406	0.460369	0.567226	3.4001784	3.4001784"
"Q7Z794	0.00357255	0.019189244	7.6966276	-7.6966276"
"Q8N1G4	0.003642152	0.019189244	0.9158659	-0.9158659"
"Q8NBS9	1.69E-05	0.003604744	1.9679356	-1.9679356"
"Q8NBX0	2.81E-05	0.003903664	1.8199072	-1.8199072"
"Q8NC51	0.08132061	0.16264126	1.0958309	-1.0958309"
"Q8WUM4	0.029448666	0.08048877	1.6048031	1.6048031"
"Q8WZ42	0.003021733	0.017066745	1.3448105	-1.3448105"
"Q9BPW8	0.25363725	0.3669425	0.6654272	-0.6654272"
"Q9BQE5	0.5599949	0.6678315	0.25202465	0.25202465"
"Q9BR76	9.23E-05	0.004072928	2.2826033	2.2826033"
"Q9BRA2	0.19687743	0.3050402	0.36192036	-0.36192036"
"Q9BRP8	0.9362054	0.9583461	0.12978649	-0.12978649"
"Q9BS26	0.87771577	0.9166676	0.035009384	0.035009384"
"Q9BSE5	0.09370984	0.17832658	0.3887291	0.3887291"
"Q9BTZ2	0.90018344	0.93597823	0.027359962	0.027359962"
"Q9BUP3	0.005796377	0.026972655	2.910863	-2.910863"
"Q9BV57	0.68847746	0.76545644	0.31019402	-0.31019402"
"Q9BW91	0.30235368	0.41529503	0.20243263	-0.20243263"
"Q9BWD1	0.002114421	0.014127088	1.6406364	1.6406364"
"Q9C0C2	0.020465257	0.06227789	2.4944515	-2.4944515"
"Q9GZT3	0.006820194	0.030094102	3.8381653	-3.8381653"
"Q9H0W9	0.44482082	0.54998845	0.37401104	0.37401104"
"Q9H1K4	0.4288585	0.53516674	0.42520714	-0.42520714"
"Q9H3K6	0.054046404	0.118499264	4.0213327	-4.0213327"
"Q9H3N1	0.65054965	0.7384051	0.25343895	0.25343895"
"Q9H4M9	0.14436255	0.24441227	1.4413538	-1.4413538"
"Q9H6S3	0.058828242	0.127793	1.2703886	-1.2703886"
"Q9H8H3	0.045352288	0.10429549	6.7948904	-6.7948904"
"Q9H9B4	0.034261793	0.087324254	0.68778896	0.68778896"
"Q9H444	0.015407995	0.050129246	1.9372301	1.9372301"
"Q9HAV7	0.33241346	0.44447708	1.697094	-1.697094"
"Q9HCC0	0.25805748	0.36955094	0.63483906	-0.63483906"
"Q9HDC9	0.009231445	0.03580989	1.292759	1.292759"
"Q9NPJ3	0.66046375	0.7448678	1.201807	-1.201807"
"Q9NQ94	0.001730978	0.012996486	1.54	1.54"
"Q9NQR4	0.6324893	0.72607726	0.13784981	0.13784981"
"Q9NR19	0.003970486	0.020022595	0.6692238	-0.6692238"
"Q9NSD9	0.007678436	0.03211262	0.6420355	0.6420355"
"Q9NUI1	0.742695	0.8091704	0.26295853	-0.26295853"
"Q9NVS9	0.001472102	0.011946019	3.1983376	-3.1983376"
"Q9NX63	0.9584569	0.9708327	0.018244743	0.018244743"
"Q9P0L0	0.095433585	0.180633	1.5473709	1.5473709"
"Q9P0Z9	0.00919364	0.03580989	0.6265335	0.6265335"
"Q9P2E9	0.20316625	0.31046608	0.5918369	-0.5918369"
"Q9UBQ7	0.5408288	0.6482599	0.10408592	0.10408592"
"Q9UDY2	0.9379847	0.9583461	0.06871033	0.06871033"
"Q9UHD8	0.001833086	0.013248244	1.5566626	1.5566626"
"Q9UJM8	0.020848587	0.06290213	0.6639261	0.6639261"
"Q9UJS0	0.001917321	0.013520763	1.4059582	1.4059582"
"Q9UJU6	0.14039478	0.23941717	0.32083035	0.32083035"
"Q9UJZ1	0.1351157	0.23275776	1.878829	-1.878829"
"Q9UKY3	0.1946684	0.30272225	0.9730892	0.9730892"
"Q9UL12	0.24466406	0.35770178	4.141796	-4.141796"
"Q9UL46	0.013358164	0.046229716	0.6745577	-0.6745577"
"Q9ULC5	0.008236596	0.03400606	2.899045	-2.899045"
"Q9ULV4	0.001953425	0.013520763	1.7633114	-1.7633114"
"Q9UN86	0.65365386	0.7395898	0.17055893	0.17055893"
"Q9UNM6	0.05236619	0.11589507	0.6959772	-0.6959772"
"Q9UQ80	0.105025366	0.19359769	0.7886753	0.7886753"
"Q9Y2P5	0.29331806	0.4068419	0.4746542	-0.4746542"
"Q9Y2Q3	0.002944117	0.01681236	2.3599682	2.3599682"
"Q9Y3F4	0.41952989	0.5289074	1.0113249	1.0113249"
"Q9Y3I0	0.27081576	0.3816286	0.5701456	-0.5701456"
"Q9Y3U8	0.11667554	0.20644945	1.2678623	-1.2678623"
"Q9Y4L1	0.000286864	0.005972457	1.9349861	1.9349861"
"Q9Y5L4	0.012300156	0.043858126	3.393835	-3.393835"
"Q9Y6C9	0.035831105	0.08797084	1.6209793	-1.6209793"
"Q9Y6N5	0.033464983	0.086781695	0.70232105	0.70232105"
"Q9Y266	0.19702318	0.3050402	0.28518486	0.28518486"
"Q9Y277	0.000581885	0.007751145	3.939578	3.939578"
"Q9Y394	0.026405577	0.07397753	0.8372898	0.8372898"
"Q9Y490	0.003626464	0.019189244	0.8623209	-0.8623209"
"Q9Y678	0.35229358	0.46316457	1.0159149	1.0159149"
"Q27J81	0.67491406	0.75415134	0.21138382	-0.21138382"
"Q32MZ4	0.3048235	0.41787443	0.34289265	-0.34289265"
"Q56VL3	0.00945409	0.03647316	3.0511312	-3.0511312"
"Q68CK6	0.05274347	0.11620324	4.8148813	-4.8148813"
"Q86TX2	0.005338078	0.025637293	0.75666046	-0.75666046"
"Q86WU2	0.051789187	0.11534021	2.033414	2.033414"
"Q86YB7	0.7099577	0.78195035	0.3119173	0.3119173"
"Q86YZ3	0.00113475	0.011283572	2.0795183	-2.0795183"
"Q96AG4	0.49256876	0.599575	0.19759274	0.19759274"
"Q96CV9	0.20144539	0.3091749	1.0559683	-1.0559683"
"Q96DG6	0.7075553	0.7805217	0.10129547	0.10129547"
"Q96FW1	0.9069861	0.94028205	0.02021885	-0.02021885"
"Q96HC4	0.029983781	0.08048877	0.45469666	0.45469666"
"Q96HS1	0.29718074	0.40978438	1.6992235	1.6992235"
"Q96I99	0.63724756	0.7302814	0.13401127	0.13401127"
"Q96KP4	0.19439282	0.30272225	0.40557384	0.40557384"
"Q00266	0.4989778	0.6063309	0.18003368	0.18003368"
"Q00325	0.002952879	0.01681236	3.901517	3.901517"
"Q00341	0.010120622	0.037936755	0.9904995	0.9904995"
"Q00610	0.005670242	0.026708914	1.1895218	-1.1895218"
"Q00688	0.01911034	0.059174996	1.1199532	1.1199532"
"Q00796	0.000371664	0.006728065	2.2476902	2.2476902"
"Q00839	0.02410075	0.068609394	0.26037598	-0.26037598"
"Q969H8	9.00E-05	0.004072928	2.8344584	-2.8344584"
"Q969X5	0.2260703	0.3374326	2.42237	-2.42237"
"Q969Z3	0.1939483	0.30272225	5.253978	-5.253978"
"Q01082	0.1895946	0.29725447	0.5936127	0.5936127"
"Q01518	0.6977627	0.77380204	0.13677502	-0.13677502"
"Q01581	0.030584805	0.08117622	1.9803562	-1.9803562"
"Q02218	4.01E-05	0.003903664	3.1349506	-3.1349506"
"Q02252	0.0380423	0.091665074	0.7823849	-0.7823849"
"Q02338	0.091991395	0.17552948	0.9400196	-0.9400196"
"Q02413	0.107660465	0.19691262	1.1403999	-1.1403999"
"Q02543	0.009606121	0.036858264	4.5558863	-4.5558863"
"Q02790	0.000205256	0.005872558	2.3748484	2.3748484"
"Q02878	0.13517092	0.23275776	0.34859562	0.34859562"
"Q03154	0.29483053	0.40750358	0.28728008	0.28728008"
"Q04446	0.63042617	0.72488755	0.62493324	-0.62493324"
"Q04637	0.17195971	0.27717695	0.35221863	0.35221863"
"Q04760	0.000161325	0.005423601	1.2592716	1.2592716"
"Q04837	0.11070959	0.20144582	0.8301449	-0.8301449"
"Q04917	0.61811924	0.7177503	1.132719	-1.132719"
"Q05682	0.07108908	0.1474982	1.449297	-1.449297"
"Q06278	0.17667231	0.28219602	1.117073	1.117073"
"Q06323	0.002933437	0.01681236	2.5227995	2.5227995"
"Q06520	0.14364454	0.2437813	0.45030499	0.45030499"
"Q06830	0.013348784	0.046229716	1.0364094	1.0364094"
"Q07020	0.002215157	0.014282542	1.0071669	1.0071669"
"Q07065	0.034436867	0.08738574	0.70849705	-0.70849705"
"Q07954	0.002334793	0.014587287	1.1576166	1.1576166"
"Q08257	0.1737724	0.2788256	0.47771645	0.47771645"
"Q08426	0.7471562	0.8102801	0.033809662	0.033809662"
"Q09666	0.069444396	0.14505251	0.4049034	0.4049034"
"Q10713	0.38740844	0.49729154	2.0453224	-2.0453224"
"Q12904	0.024024684	0.068609394	2.057189	2.057189"
"Q12907	0.6113423	0.71222377	0.35597324	-0.35597324"
"Q12931	0.43130985	0.5370454	1.2757435	-1.2757435"
"Q13011	0.41948217	0.5289074	0.30436707	0.30436707"
"Q13162	0.10870138	0.19830284	0.47505665	-0.47505665"
"Q13200	0.003349034	0.018328823	0.99832535	0.99832535"
"Q13228	0.013507256	0.04651767	2.977622	2.977622"
"Q13247	0.23515871	0.34838796	1.3472557	-1.3472557"
"Q13347	0.08967347	0.17207526	0.49802017	0.49802017"
"Q13423	0.6286499	0.72483397	0.5364809	-0.5364809"
"Q13501	0.010070259	0.037936755	1.1981068	-1.1981068"
"Q13561	0.020337313	0.06215646	0.5162115	-0.5162115"
"Q13813	0.2351519	0.34838796	0.3112383	-0.3112383"
"Q13885	0.08526201	0.1677982	0.97018814	0.97018814"
"Q14019	0.77290183	0.831812	0.2660675	0.2660675"
"Q14032	0.41659814	0.52804005	0.4000492	-0.4000492"
"Q14103	0.000710339	0.00864654	2.442253	2.442253"
"Q14116	0.7340097	0.8021838	0.8387804	-0.8387804"
"Q14117	0.000693398	0.0085884	2.593666	2.593666"
"Q14152	0.010483618	0.038549133	0.6573019	-0.6573019"
"Q14240	0.3477943	0.4589584	3.7745342	-3.7745342"
"Q14247	0.70538974	0.7793506	0.047854424	0.047854424"
"Q14697	0.004043325	0.020245297	1.8589125	-1.8589125"
"Q14764	0.099092335	0.18604033	0.46767807	0.46767807"
"Q14847	0.005648551	0.026708914	0.80084515	-0.80084515"
"Q14914	0.09195271	0.17552948	0.7687292	-0.7687292"
"Q14974	0.23971629	0.35331887	0.97297573	-0.97297573"
"Q15067	0.9217721	0.9514198	0.030848503	-0.030848503"
"Q15084	0.5728682	0.6763293	0.11100674	-0.11100674"
"Q15149	0.022969004	0.06673298	0.66192055	-0.66192055"
"Q15181	0.21939342	0.3288572	0.23247814	0.23247814"
"Q15185	0.06010748	0.12937768	0.49584293	-0.49584293"
"Q15233	0.1571592	0.25959146	1.3595095	-1.3595095"
"Q15274	0.310091	0.42100808	0.2113266	0.2113266"
"Q15365	0.18938032	0.29725447	1.0067091	-1.0067091"
"Q15370	0.008875331	0.034962676	0.34825802	-0.34825802"
"Q15436	0.001106953	0.011270215	1.2066622	-1.2066622"
"Q15717	0.000266178	0.005872558	2.1061697	2.1061697"
"Q16134	0.00014654	0.005423601	2.411766	2.411766"
"Q16181	0.21778053	0.32713416	0.4527521	-0.4527521"
"Q16543	0.03922453	0.09419222	1.9494476	1.9494476"
"Q16555	0.83976454	0.88620865	0.08744049	-0.08744049"
"Q16698	0.16325876	0.2674261	0.4856491	-0.4856491"
"Q16719	0.020253703	0.06215646	0.96643925	0.96643925"
"Q16762	0.17154066	0.2771344	1.538372	-1.538372"
"Q16775	0.001652913	0.012956693	1.7366762	1.7366762"
"Q16795	0.85097694	0.8953647	0.0515213	0.0515213"
"Q16822	0.000185409	0.005749361	0.6933241	-0.6933241"
"Q16836	0.819649	0.8701837	0.07649708	0.07649708"
"Q16851	0.2669631	0.37922016	0.23641968	0.23641968"
"Q16881	0.09575723	0.18076095	1.7325087	-1.7325087"
"Q16891	0.9944358	0.9944356	0.001374245	-0.001374245"
"Q92506	0.017250493	0.054613665	1.3622503	-1.3622503"
"Q92597	0.36236796	0.4728867	0.238554	0.238554"
"Q92734	0.6772406	0.75415134	0.34938526	-0.34938526"
"Q92743	0.003628789	0.019189244	1.5959377	-1.5959377"
"Q92945	0.000883108	0.010074678	1.4532909	1.4532909"
"Q92947	0.2726914	0.3835061	0.2122221	0.2122221"
"Q93088	0.24522337	0.35770178	1.1715012	-1.1715012"
"Q99460	0.025581535	0.07224224	0.55877113	-0.55877113"
"Q99497	0.103480086	0.19124845	0.62787247	0.62787247"
"Q99541	0.011920277	0.04313259	0.83969784	-0.83969784"
"Q99623	0.023326024	0.067492515	0.72670364	-0.72670364"
"Q99714	0.17820804	0.2840064	0.43690872	0.43690872"
"Q99798	0.002260115	0.014282542	1.1683912	-1.1683912"
"Q99832	0.9688804	0.9757908	0.010165215	0.010165215"
