"UNIPROT	pvalue	qvalue	effectSize	directedEffect"
"P05177	0.21087383	0.32085547	2.8294702	-2.8294702"
"P05181	0.6003458	0.7040597	0.907073	-0.907073"
"P05387	0.13151078	0.22868615	1.0695257	1.0695257"
"P05556	0.002141074	0.014127088	2.544096	2.544096"
"P05783	0.22757176	0.33895716	0.34383965	0.34383965"
"P05787	0.05195212	0.11534021	0.7213135	0.7213135"
"P06133	0.92533207	0.95369995	0.045502663	0.045502663"
"P06396	0.000516779	0.007751145	3.8617458	3.8617458"
"P06576	0.5692989	0.6737726	0.14366722	-0.14366722"
"P06703	0.79037243	0.84674186	0.20105457	0.20105457"
"P06733	0.001060704	0.011176965	1.5415573	1.5415573"
"P06737	2.04E-05	0.003604744	1.3375664	1.3375664"
"P06744	0.5679187	0.6737726	0.72175694	-0.72175694"
"P06748	0.36740842	0.4768204	0.47610378	0.47610378"
"P06753	0.267934	0.37922016	1.1966276	-1.1966276"
"P07099	0.91341394	0.94417286	0.034600258	0.034600258"
"P07148	0.035932846	0.08797084	0.8485832	0.8485832"
"P07195	0.1846083	0.29338482	0.67278576	0.67278576"
"P07237	0.020561865	0.06230333	1.4434814	1.4434814"
"P07327	0.42715085	0.53516674	0.79264355	0.79264355"
"P07339	0.000239545	0.005872558	1.6982193	1.6982193"
"P07355	0.15737268	0.25959146	0.27874756	-0.27874756"
"P07437	0.001006924	0.01077103	1.169445	1.169445"
"P07602	5.53E-05	0.003903664	3.0479507	-3.0479507"
"P07737	0.000155895	0.005423601	2.8213787	2.8213787"
"P07814	0.001748819	0.012996486	3.0341597	-3.0341597"
"P07858	0.8896931	0.9278043	0.026575089	-0.026575089"
"P07900	5.04E-05	0.003903664	1.7202101	1.7202101"
"P07902	0.52011216	0.6276907	0.47305012	-0.47305012"
"P07910	0.9739879	0.97953755	0.007575035	0.007575035"
"P07954	0.16386071	0.2675248	1.6915388	1.6915388"
"P08133	0.003266358	0.01815786	0.7700834	0.7700834"
"P08238	0.002491813	0.015297562	1.9828234	1.9828234"
"P08319	0.018772727	0.058643997	1.0464649	1.0464649"
"P08603	6.73E-05	0.004064043	2.2876987	2.2876987"
"P08670	0.0853422	0.1677982	0.9384384	0.9384384"
"P08708	0.23538406	0.34838796	0.22740746	-0.22740746"
"P08727	0.07042647	0.14666985	0.8289871	0.8289871"
"P08729	4.87E-05	0.003903664	3.9128933	3.9128933"
"P08758	0.6165767	0.7171386	0.15463257	-0.15463257"
"P08779	0.22285521	0.3333384	0.8342457	0.8342457"
"P08865	0.30705723	0.41908705	0.38576698	0.38576698"
"P09110	0.16247194	0.26675618	0.3441229	0.3441229"
"P09210	0.04217862	0.0995923	1.0844727	1.0844727"
"P09327	0.039638273	0.0948631	1.0014172	1.0014172"
"P09382	0.021414658	0.06401409	1.1147137	1.1147137"
"P09467	0.00032236	0.006321831	2.3981056	2.3981056"
"P09493	0.48854733	0.595707	0.21623325	-0.21623325"
"P09496	0.02695817	0.07493096	4.076601	4.076601"
"P09525	0.67693394	0.75415134	0.27670288	-0.27670288"
"P09622	0.044741515	0.10412309	2.4758873	-2.4758873"
"P09651	0.018427687	0.057821974	1.7701178	1.7701178"
"P09972	8.17E-05	0.004072928	3.3969812	-3.3969812"
"P10599	0.005264845	0.025458762	1.0206499	-1.0206499"
"P10606	0.04946168	0.11085698	1.2762308	-1.2762308"
"P10644	0.53359336	0.64067477	0.19198799	-0.19198799"
"P10768	0.2848998	0.39672443	0.682065	-0.682065"
"P10809	0.001173832	0.011510071	1.1720142	-1.1720142"
"P10909	0.24651656	0.35884672	0.12797546	-0.12797546"
"P11021	0.05037787	0.1125531	0.10285759	0.10285759"
"P11142	0.002640491	0.015705794	1.5277405	1.5277405"
"P11177	0.0037775	0.01953656	3.1123228	3.1123228"
"P11216	0.29100493	0.404428	1.6728735	-1.6728735"
"P11310	0.10066637	0.18752101	1.4648848	-1.4648848"
"P11413	0.002848163	0.016618202	2.2448406	-2.2448406"
"P11498	0.006650315	0.029529061	1.0681057	-1.0681057"
"P11586	0.007071929	0.030819636	0.5428009	0.5428009"
"P11766	0.24817726	0.36052084	0.10595608	-0.10595608"
"P11940	0.001375944	0.011670603	2.3041248	-2.3041248"
"P12236	0.9322116	0.957993	0.092157364	0.092157364"
"P12268	0.001776233	0.013062711	1.46383	1.46383"
"P12814	0.66946316	0.75261307	0.21742916	-0.21742916"
"P12955	0.13263609	0.23007622	1.0159492	1.0159492"
"P12956	0.000655246	0.008313694	2.2519884	2.2519884"
"P13010	0.16971125	0.27543938	0.24854088	-0.24854088"
"P13073	0.41224495	0.5244052	0.16481113	0.16481113"
"P13489	0.000855045	0.010074678	1.6923904	1.6923904"
"P13639	0.015227746	0.05000367	0.7919512	-0.7919512"
"P13645	0.25599998	0.36884886	0.5788803	0.5788803"
"P13647	0.012527567	0.044222306	0.98105145	-0.98105145"
"P13667	0.001358451	0.011670603	1.3965673	1.3965673"
"P13693	0.47601372	0.58142847	0.25013447	-0.25013447"
"P13796	0.66213274	0.74555933	0.11001396	-0.11001396"
"P13797	0.76316255	0.82402503	0.08991051	0.08991051"
"P13798	0.003304309	0.01822533	1.0952358	-1.0952358"
"P13804	0.8117539	0.86440134	0.06276131	-0.06276131"
"P13929	0.000187302	0.005749361	4.6533346	-4.6533346"
"P14174	0.001613981	0.012803039	1.280468	-1.280468"
"P14314	0.25745422	0.36955094	0.34651375	0.34651375"
"P14550	0.05510268	0.120441146	0.6402254	0.6402254"
"P14618	0.27712914	0.38666624	0.4345274	0.4345274"
"P14625	0.5516261	0.6600812	0.056085587	0.056085587"
"P14866	0.11166961	0.20197146	0.69318104	0.69318104"
"P14868	0.058693748	0.127793	0.6189556	-0.6189556"
"P15121	0.13385148	0.23161551	1.3396206	1.3396206"
"P15144	0.95458764	0.9683029	0.021574974	0.021574974"
"P15170	0.16911484	0.2751039	0.76809216	-0.76809216"
"P15311	0.001948186	0.013520763	1.5664577	1.5664577"
"P15880	0.08720088	0.16959725	0.7445383	-0.7445383"
"P15924	0.2606573	0.3717657	0.39271927	0.39271927"
"P16152	0.13591781	0.2334744	0.63598824	-0.63598824"
